slug,index,Intervention,Time_after_intervention,commits_count,comments,amounts
Open-Science-Community-Saudi-Arabia,4,1,4,33,1,3
Open-Science-Community-Saudi-Arabia,5,1,5,2,2,3
Open-Science-Community-Saudi-Arabia,6,1,6,10,0,2
OpenHV,-6,0,0,8,0,0
OpenHV,-5,0,0,4,0,0
OpenHV,-4,0,0,2,0,0
OpenHV,-3,0,0,9,0,0
OpenHV,-2,0,0,3,0,0
OpenHV,-1,0,0,2,0,0
OpenHV,0,1,0,0,0,1
OpenHV,1,1,1,0,2,1
OpenHV,2,1,2,0,3,1
OpenHV,3,1,3,2,0,0
OpenHV,4,1,4,16,0,0
OpenHV,5,1,5,3,0,1
OpenHV,6,1,6,2,3,2
OpenHospitalityNetwork,-6,0,0,0,0,0
OpenHospitalityNetwork,-5,0,0,0,0,0
OpenHospitalityNetwork,-4,0,0,0,0,0
OpenHospitalityNetwork,-3,0,0,0,0,0
OpenHospitalityNetwork,-2,0,0,0,0,0
OpenHospitalityNetwork,-1,0,0,0,0,0
OpenHospitalityNetwork,0,1,0,0,20,4
OpenHospitalityNetwork,1,1,1,26,46,23
OpenHospitalityNetwork,2,1,2,2,7,9
OpenHospitalityNetwork,3,1,3,0,0,0
OpenHospitalityNetwork,4,1,4,9,14,7
OpenHospitalityNetwork,5,1,5,22,0,0
OpenHospitalityNetwork,6,1,6,5,6,10
OpenMaine,-6,0,0,0,0,0
OpenMaine,-5,0,0,0,0,0
OpenMaine,-4,0,0,0,0,0
OpenMaine,-3,0,0,0,0,0
OpenMaine,-2,0,0,34,0,0
OpenMaine,-1,0,0,10,0,0
OpenMaine,0,1,0,13,0,1
OpenMaine,1,1,1,2,0,0
OpenMaine,2,1,2,4,0,0
OpenMaine,3,1,3,6,0,0
OpenMaine,4,1,4,16,0,0
OpenMaine,5,1,5,0,0,0
OpenMaine,6,1,6,10,0,0
OpenShopChannel,-6,0,0,31,0,0
OpenShopChannel,-5,0,0,12,0,0
OpenShopChannel,-4,0,0,5,0,0
OpenShopChannel,-3,0,0,0,0,0
OpenShopChannel,-2,0,0,11,0,0
OpenShopChannel,-1,0,0,5,0,0
OpenShopChannel,0,1,0,1,0,1
OpenShopChannel,1,1,1,2,0,0
OpenShopChannel,2,1,2,0,0,0
OpenShopChannel,3,1,3,1,0,0
OpenShopChannel,4,1,4,0,0,0
OpenShopChannel,5,1,5,2,1,1
OpenShopChannel,6,1,6,9,0,0
PapillonApp,-6,0,0,0,0,0
PapillonApp,-5,0,0,0,0,0
PapillonApp,-4,0,0,0,0,0
PapillonApp,-3,0,0,0,0,0
PapillonApp,-2,0,0,0,0,0
PapillonApp,-1,0,0,0,0,0
PapillonApp,0,1,0,27,13,5
PapillonApp,1,1,1,3,8,3
PapillonApp,2,1,2,0,0,1
PapillonApp,3,1,3,22,3,1
PapillonApp,4,1,4,25,5,2
PapillonApp,5,1,5,0,0,0
PapillonApp,6,1,6,0,34,5
PitchBlackRecoveryProject,-6,0,0,9,0,0
PitchBlackRecoveryProject,-5,0,0,11,0,0
PitchBlackRecoveryProject,-4,0,0,13,0,0
PitchBlackRecoveryProject,-3,0,0,12,0,0
