slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
jaeles-project,2,1,2,2,4,3
jaeles-project,3,1,3,1,0,0
jaeles-project,4,1,4,1,0,0
jaeles-project,5,1,5,1,0,0
jaeles-project,6,1,6,1,4,1
jreleaser,-6,0,0,0,0,0
jreleaser,-5,0,0,1,0,0
jreleaser,-4,0,0,4,0,0
jreleaser,-3,0,0,3,0,0
jreleaser,-2,0,0,4,0,0
jreleaser,-1,0,0,4,0,0
jreleaser,0,1,0,5,0,1
jreleaser,1,1,1,0,0,0
jreleaser,2,1,2,3,0,0
jreleaser,3,1,3,0,0,0
jreleaser,4,1,4,2,0,0
jreleaser,5,1,5,0,0,0
jreleaser,6,1,6,5,0,0
konstaui,-6,0,0,0,0,0
konstaui,-5,0,0,0,0,0
konstaui,-4,0,0,0,0,0
konstaui,-3,0,0,0,0,0
konstaui,-2,0,0,0,0,0
konstaui,-1,0,0,2,0,0
konstaui,0,1,0,1,1,1
konstaui,1,1,1,0,0,0
konstaui,2,1,2,0,0,0
konstaui,3,1,3,8,0,0
konstaui,4,1,4,0,0,0
konstaui,5,1,5,2,0,0
konstaui,6,1,6,0,0,0
kube-hetzner,-6,0,0,1,0,0
kube-hetzner,-5,0,0,5,0,0
kube-hetzner,-4,0,0,5,0,0
kube-hetzner,-3,0,0,4,0,0
kube-hetzner,-2,0,0,0,0,0
kube-hetzner,-1,0,0,1,0,0
kube-hetzner,0,1,0,1,13,3
kube-hetzner,1,1,1,2,11,2
kube-hetzner,2,1,2,1,0,0
kube-hetzner,3,1,3,1,2,1
kube-hetzner,4,1,4,0,0,0
kube-hetzner,5,1,5,6,14,3
kube-hetzner,6,1,6,1,0,1
linearmouse,-6,0,0,2,0,0
linearmouse,-5,0,0,4,0,0
linearmouse,-4,0,0,1,0,0
linearmouse,-3,0,0,0,0,0
linearmouse,-2,0,0,1,0,0
linearmouse,-1,0,0,1,0,0
linearmouse,0,1,0,1,2,1
linearmouse,1,1,1,1,2,2
linearmouse,2,1,2,0,0,0
linearmouse,3,1,3,0,0,0
linearmouse,4,1,4,2,0,0
linearmouse,5,1,5,0,10,1
linearmouse,6,1,6,0,9,2
lobehub,-6,0,0,0,0,0
lobehub,-5,0,0,0,0,0
lobehub,-4,0,0,0,0,0
lobehub,-3,0,0,0,0,0
lobehub,-2,0,0,0,0,0
lobehub,-1,0,0,5,0,0
lobehub,0,1,0,8,0,2
lobehub,1,1,1,68,0,1
lobehub,2,1,2,29,2,9
lobehub,3,1,3,11,8,12
lobehub,4,1,4,21,17,6
lobehub,5,1,5,65,17,19
lobehub,6,1,6,39,20,13
master-co,-6,0,0,0,0,0
master-co,-5,0,0,0,0,0
master-co,-4,0,0,0,0,0
master-co,-3,0,0,0,0,0
master-co,-2,0,0,0,0,0
master-co,-1,0,0,0,0,0
master-co,0,1,0,0,2,3
master-co,1,1,1,0,1,3
master-co,2,1,2,0,0,1
